City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,16.29,98,100,4.12,overcast clouds
1,Yenagoa,NG,4.9247,6.2642,77.77,90,100,4.85,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,58.12,87,43,3.0,light rain
3,Busselton,AU,-33.65,115.3333,66.31,53,99,7.76,overcast clouds
4,Kalat,PK,29.0225,66.5916,58.19,23,100,3.78,overcast clouds
5,Albany,US,42.6001,-73.9662,52.21,54,100,7.09,overcast clouds
6,Imbituba,BR,-28.24,-48.6703,72.82,90,99,1.83,light rain
7,Punta Arenas,CL,-53.15,-70.9167,35.11,74,8,13.0,clear sky
8,Kapaa,US,22.0752,-159.319,78.78,76,100,5.01,overcast clouds
9,San Javier,ES,37.8063,-0.8374,45.99,79,82,8.99,broken clouds
10,Saint George,US,37.1041,-113.5841,74.25,10,0,12.8,clear sky
11,Port Elizabeth,ZA,-33.918,25.5701,63.1,76,29,11.01,scattered clouds
12,Bluff,NZ,-46.6,168.3333,52.68,70,74,32.39,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,60.8,76,81,16.58,light rain
14,Tiksi,RU,71.6872,128.8694,-9.45,99,98,3.85,overcast clouds
15,Castro,BR,-24.7911,-50.0119,63.18,99,46,5.46,scattered clouds
16,Vanavara,RU,60.34,102.2797,26.06,89,100,7.02,overcast clouds
17,Tautira,PF,-17.7333,-149.15,82.29,80,29,22.26,light rain
18,Waipawa,NZ,-41.4122,175.5153,65.3,74,100,17.18,light rain
19,Troitsko-Pechorsk,RU,62.7084,56.1964,-3.01,100,75,2.75,broken clouds
20,Avarua,CK,-21.2078,-159.775,84.25,74,100,10.36,overcast clouds
21,Burnie,AU,-41.0667,145.9167,58.53,63,95,9.01,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,-3.75,90,15,6.02,few clouds
23,Rikitea,PF,-23.1203,-134.9692,79.0,67,78,17.25,broken clouds
24,Mataura,NZ,-46.1927,168.8643,48.51,84,100,13.13,overcast clouds
25,Roma,US,43.2128,-75.4557,51.94,50,0,11.5,clear sky
26,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,5.75,broken clouds
27,Coari,BR,-4.085,-63.1414,74.7,97,95,1.32,light rain
28,Cockburn Town,TC,21.4612,-71.1419,78.39,77,0,18.32,clear sky
29,Leningradskiy,RU,69.3833,178.4167,-3.19,93,91,24.14,overcast clouds
30,Esperance,AU,-33.8667,121.9,66.49,62,85,8.95,overcast clouds
31,Bubaque,GW,11.2833,-15.8333,76.8,71,3,12.35,clear sky
