City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yenagoa,NG,77.77,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
8,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Tautira,PF,82.29,light rain,-17.7333,-149.15,Pension Oaoa
20,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
23,Rikitea,PF,79.0,broken clouds,-23.1203,-134.9692,People ThankYou
28,Cockburn Town,TC,78.39,clear sky,21.4612,-71.1419,Osprey Beach Hotel
31,Bubaque,GW,76.8,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
34,Arraial Do Cabo,BR,76.48,clear sky,-22.9661,-42.0278,Pousada Porto Praia
37,Tabou,CI,79.88,broken clouds,4.423,-7.3528,hotêl doufoulougou
38,Weston,US,80.01,heavy intensity rain,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
42,Trinidad,BO,75.07,scattered clouds,-14.8333,-64.9,Hotel Piesta
47,Butaritari,KI,81.57,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Vaini,TO,81.28,few clouds,-21.2,-175.2,Keleti Beach Resort
59,Bengkulu,ID,77.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Bandarbeyla,SO,77.27,clear sky,9.4942,50.8122,JABIR HOTEL
63,Belmonte,BR,77.36,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
67,Hurghada,EG,81.5,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
69,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
72,Faanui,PF,82.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Guider,CM,89.28,broken clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
78,Cartagena,CO,79.41,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
80,Port-Gentil,GA,80.38,overcast clouds,-0.7193,8.7815,Fengshui Residence
84,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
94,Riohacha,CO,80.98,overcast clouds,11.5444,-72.9072,Hotel Taroa
95,Kavieng,PG,81.36,light rain,-2.5744,150.7967,Nusa Island Retreat
97,Port Keats,AU,89.67,very heavy rain,-14.25,129.55,TDC Village (Hundred Man Camp)
98,Sola,VU,83.28,moderate rain,-13.8833,167.55,Leumerus Bungalows
106,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
114,Sibolga,ID,81.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
116,Wanning,CN,75.58,overcast clouds,18.8003,110.3967,Paradise Hotel
117,Acajutla,SV,81.5,broken clouds,13.5928,-89.8275,Laureles
118,Victoria,HK,76.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
123,Karwar,IN,79.9,broken clouds,14.8,74.1333,Netalco Connects
130,Isangel,VU,81.07,moderate rain,-19.55,169.2667,Tanna Lodge
132,Paracuru,BR,80.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
136,Hithadhoo,MV,82.15,few clouds,-0.6,73.0833,Scoop Guest House
140,Tabas,IR,75.11,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
142,Saint-Georges,GD,78.64,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
143,Kahului,US,77.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
144,Usumatlan,GT,83.84,overcast clouds,14.95,-89.7833,"La Cruz, Cabañas"
145,Musafirkhana,IN,84.2,few clouds,26.3667,81.8,यादव ढाबा
151,Bilma,NE,83.86,clear sky,18.6853,12.9164,Expeditions Ténére voyages
154,Atuona,PF,79.34,clear sky,-9.8,-139.0333,Villa Enata
155,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
157,San Juan De Uraba,CO,80.04,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
161,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
163,Galesong,ID,84.22,few clouds,-5.3166,119.3661,Sapriadi Appy
167,Bagalkot,IN,81.61,broken clouds,16.1833,75.7,Hotel Shiva Sangam Residency
